label	frame	needle	row	line
pipy	0	pipy v	1	 pipy v0.1.0
pipy	0	hello world	16	 hello world
pipy	0	Working...	19	 ⠋ Working...
pipy	0	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	0	pi v	1	 pi v0.75.5
pi	0	hello world	16	hello world
pi	0	$0.000 (sub) 0.0%/272k	19	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	1	pipy v	1	 pipy v0.1.0
pipy	1	hello world	16	 hello world
pipy	1	Working...	19	 ⠙ Working...
pipy	1	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	1	pi v	1	 pi v0.75.5
pi	1	hello world	16	 hello world
pi	1	Working...	19	 ⠙ Working...
pi	1	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	2	pipy v	1	 pipy v0.1.0
pipy	2	hello world	16	 hello world
pipy	2	Working...	19	 ⠸ Working...
pipy	2	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	2	pi v	1	 pi v0.75.5
pi	2	hello world	16	 hello world
pi	2	Working...	19	 ⠸ Working...
pi	2	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	3	pipy v	1	 pipy v0.1.0
pipy	3	hello world	16	 hello world
pipy	3	Working...	19	 ⠼ Working...
pipy	3	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	3	pi v	1	 pi v0.75.5
pi	3	hello world	16	 hello world
pi	3	Working...	19	 ⠼ Working...
pi	3	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	4	pipy v	1	 pipy v0.1.0
pipy	4	hello world	16	 hello world
pipy	4	Working...	19	 ⠦ Working...
pipy	4	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	4	pi v	1	 pi v0.75.5
pi	4	hello world	16	 hello world
pi	4	Working...	19	 ⠦ Working...
pi	4	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	5	pipy v	1	 pipy v0.1.0
pipy	5	hello world	16	 hello world
pipy	5	Working...	19	 ⠧ Working...
pipy	5	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	5	pi v	1	 pi v0.75.5
pi	5	hello world	16	 hello world
pi	5	Working...	19	 ⠧ Working...
pi	5	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	6	pipy v	1	 pipy v0.1.0
pipy	6	hello world	16	 hello world
pipy	6	Working...	19	 ⠏ Working...
pipy	6	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	6	pi v	1	 pi v0.75.5
pi	6	hello world	16	 hello world
pi	6	Working...	19	 ⠏ Working...
pi	6	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	7	pipy v	1	 pipy v0.1.0
pipy	7	hello world	16	 hello world
pipy	7	Working...	19	 ⠋ Working...
pipy	7	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	7	pi v	1	 pi v0.75.5
pi	7	hello world	16	 hello world
pi	7	Working...	19	 ⠋ Working...
pi	7	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	8	pipy v	1	 pipy v0.1.0
pipy	8	hello world	16	 hello world
pipy	8	Working...	19	 ⠙ Working...
pipy	8	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	8	pi v	1	 pi v0.75.5
pi	8	hello world	16	 hello world
pi	8	Working...	19	 ⠹ Working...
pi	8	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	9	pipy v	1	 pipy v0.1.0
pipy	9	hello world	16	 hello world
pipy	9	Working...	19	 ⠸ Working...
pipy	9	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	9	pi v	1	 pi v0.75.5
pi	9	hello world	16	 hello world
pi	9	Working...	19	 ⠸ Working...
pi	9	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	10	pipy v	1	 pipy v0.1.0
pipy	10	hello world	16	 hello world
pipy	10	Working...	19	 ⠼ Working...
pipy	10	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	10	pi v	1	 pi v0.75.5
pi	10	hello world	16	 hello world
pi	10	Hello	19	 Hello!
pi	10	Working...	21	 ⠴ Working...
pi	10	$0.000 (sub) 0.0%/272k	27	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	11	pipy v	1	 pipy v0.1.0
pipy	11	hello world	16	 hello world
pipy	11	Working...	19	 ⠦ Working...
pipy	11	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	11	pi v	1	 pi v0.75.5
pi	11	hello world	16	 hello world
pi	11	Hello	19	 Hello!
pipy	12	pipy v	1	 pipy v0.1.0
pipy	12	hello world	16	 hello world
pipy	12	Working...	19	 ⠧ Working...
pipy	12	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	12	pi v	1	 pi v0.75.5
pi	12	hello world	16	 hello world
pi	12	Hello	19	 Hello!
pipy	13	pipy v	1	 pipy v0.1.0
pipy	13	hello world	16	 hello world
pipy	13	Working...	19	 ⠏ Working...
pipy	13	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	13	pi v	1	 pi v0.75.5
pi	13	hello world	16	 hello world
pi	13	Hello	19	 Hello!
pipy	14	pipy v	1	 pipy v0.1.0
pipy	14	hello world	16	 hello world
pipy	14	Working...	19	 ⠋ Working...
pipy	14	$0.000 (sub) 0.0%/272k	29	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	14	pi v	1	 pi v0.75.5
pi	14	hello world	16	 hello world
pi	14	Hello	19	 Hello!
pipy	15	pipy v	1	 pipy v0.1.0
pipy	15	hello world	16	 hello world
pipy	15	Working...	19	 ⠹ Working...
