label	frame	needle	row	line
pipy	0	Reply exactly: Hello!	16	 Reply exactly: Hello!
pipy	0	Hello!	16	 Reply exactly: Hello!
pipy	0	Working...	19	 ⠋ Working...
pipy	0	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	0	Reply exactly: Hello!	16	Reply exactly: Hello!
pi	0	Hello!	16	Reply exactly: Hello!
pi	0	$0.000 (sub) 0.0%/272k	19	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	1	Reply exactly: Hello!	16	 Reply exactly: Hello!
pipy	1	Hello!	16	 Reply exactly: Hello!
pipy	1	Working...	19	 ⠙ Working...
pipy	1	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	1	Reply exactly: Hello!	16	 Reply exactly: Hello!
pi	1	Hello!	16	 Reply exactly: Hello!
pi	1	Working...	19	 ⠙ Working...
pi	1	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	2	Reply exactly: Hello!	16	 Reply exactly: Hello!
pipy	2	Hello!	16	 Reply exactly: Hello!
pipy	2	Working...	19	 ⠸ Working...
pipy	2	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	2	Reply exactly: Hello!	16	 Reply exactly: Hello!
pi	2	Hello!	16	 Reply exactly: Hello!
pi	2	Working...	19	 ⠸ Working...
pi	2	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	3	Reply exactly: Hello!	16	 Reply exactly: Hello!
pipy	3	Hello!	16	 Reply exactly: Hello!
pipy	3	Working...	19	 ⠼ Working...
pipy	3	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	3	Reply exactly: Hello!	16	 Reply exactly: Hello!
pi	3	Hello!	16	 Reply exactly: Hello!
pi	3	Working...	19	 ⠼ Working...
pi	3	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pipy	4	Reply exactly: Hello!	16	 Reply exactly: Hello!
pipy	4	Hello!	16	 Reply exactly: Hello!
pipy	4	Working...	19	 ⠦ Working...
pipy	4	$0.000 (sub) 0.0%/272k	25	$0.000 (sub) 0.0%/272k (auto)                                          (openai-codex) gpt-5.5 • high
pi	4	Reply exactly: Hello!	16	 Reply exactly: Hello!
pi	4	Hello!	16	 Reply exactly: Hello!
pi	4	Working...	19	 ⠦ Working...
