label	frame	cursor_x	cursor_y	pane_active
pipy	0	0	22	1
pi	0	0	26	1
pipy	1	0	22	1
pi	1	0	26	1
pipy	2	0	22	1
pi	2	0	26	1
pipy	3	0	22	1
pi	3	0	26	1
pipy	4	0	22	1
pi	4	0	26	1
pipy	5	0	22	1
pi	5	0	26	1
pipy	6	0	22	1
pi	6	0	26	1
pipy	7	0	22	1
pi	7	0	26	1
pipy	8	0	22	1
pi	8	0	26	1
pipy	9	0	22	1
pi	9	0	24	1
pipy	10	0	22	1
pi	10	0	24	1
pipy	11	0	22	1
pi	11	0	24	1
pipy	12	0	22	1
pi	12	0	24	1
pipy	13	0	22	1
pi	13	0	24	1
pipy	14	0	22	1
pi	14	0	24	1
pipy	15	0	22	1
pi	15	0	24	1
pipy	16	0	22	1
pi	16	0	24	1
pipy	17	0	22	1
pi	17	0	24	1
pipy	18	0	22	1
pi	18	0	24	1
pipy	19	0	22	1
pi	19	0	24	1
pipy	20	0	24	1
pi	20	0	24	1
pipy	21	0	24	1
pi	21	0	24	1
pipy	22	0	24	1
pi	22	0	24	1
pipy	23	0	24	1
pi	23	0	24	1
pipy	24	0	24	1
pi	24	0	24	1
pipy	25	0	22	1
pi	25	0	24	1
pipy	26	0	22	1
pi	26	0	24	1
pipy	27	0	22	1
pi	27	0	24	1
pipy	28	0	22	1
pi	28	0	24	1
pipy	29	0	22	1
pi	29	0	24	1
pipy	30	0	22	1
pi	30	0	24	1
pipy	31	0	22	1
pi	31	0	24	1
pipy	32	0	22	1
pi	32	0	24	1
pipy	33	0	22	1
pi	33	0	24	1
pipy	34	0	22	1
pi	34	0	24	1
pipy	35	0	22	1
pi	35	0	24	1
pipy	36	0	22	1
pi	36	0	24	1
pipy	37	0	22	1
pi	37	0	24	1
pipy	38	0	22	1
pi	38	0	24	1
pipy	39	0	22	1
pi	39	0	24	1
