label	frame	needle	count	rows
pipy	0	Reply exactly: Hello!	1	16
pipy	0	Working...	1	19
pipy	0	Hello!	1	16
pipy	0	$0.000 (sub) 0.0%/272k	1	25
pi	0	Reply exactly: Hello!	1	22
pi	0	Working...	0	
pi	0	Hello!	1	22
pi	0	$0.000 (sub) 0.0%/272k	1	25
pipy	1	Reply exactly: Hello!	1	16
pipy	1	Working...	1	19
pipy	1	Hello!	1	16
pipy	1	$0.000 (sub) 0.0%/272k	1	25
pi	1	Reply exactly: Hello!	1	22
pi	1	Working...	1	25
pi	1	Hello!	1	22
pi	1	$0.000 (sub) 0.0%/272k	1	31
pipy	2	Reply exactly: Hello!	1	16
pipy	2	Working...	1	19
pipy	2	Hello!	1	16
pipy	2	$0.000 (sub) 0.0%/272k	1	25
pi	2	Reply exactly: Hello!	1	22
pi	2	Working...	1	25
pi	2	Hello!	1	22
pi	2	$0.000 (sub) 0.0%/272k	1	31
pipy	3	Reply exactly: Hello!	1	16
pipy	3	Working...	1	19
pipy	3	Hello!	1	16
pipy	3	$0.000 (sub) 0.0%/272k	1	25
pi	3	Reply exactly: Hello!	1	22
pi	3	Working...	1	25
pi	3	Hello!	1	22
pi	3	$0.000 (sub) 0.0%/272k	1	31
pipy	4	Reply exactly: Hello!	1	16
pipy	4	Working...	1	19
pipy	4	Hello!	1	16
pipy	4	$0.000 (sub) 0.0%/272k	1	25
pi	4	Reply exactly: Hello!	1	22
pi	4	Working...	1	25
pi	4	Hello!	1	22
pi	4	$0.000 (sub) 0.0%/272k	1	31
pipy	5	Reply exactly: Hello!	1	16
pipy	5	Working...	1	19
pipy	5	Hello!	1	16
pipy	5	$0.000 (sub) 0.0%/272k	1	25
pi	5	Reply exactly: Hello!	1	22
pi	5	Working...	1	25
pi	5	Hello!	1	22
pi	5	$0.000 (sub) 0.0%/272k	1	31
pipy	6	Reply exactly: Hello!	1	16
pipy	6	Working...	1	19
pipy	6	Hello!	1	16
pipy	6	$0.000 (sub) 0.0%/272k	1	25
pi	6	Reply exactly: Hello!	1	22
pi	6	Working...	1	25
pi	6	Hello!	1	22
pi	6	$0.000 (sub) 0.0%/272k	1	31
