label	frame	cursor_x	cursor_y	pane_active
pipy	0	0	22	1
pi	0	0	22	1
pipy	1	0	22	1
pi	1	0	22	1
pipy	2	0	22	1
pi	2	0	22	1
pipy	3	0	22	1
pi	3	0	22	1
pipy	4	0	22	1
pi	4	0	22	1
pipy	5	0	22	1
pi	5	0	22	1
pipy	6	0	22	1
pi	6	0	22	1
pipy	7	0	22	1
pi	7	0	22	1
pipy	8	0	22	1
pi	8	0	22	1
pipy	9	0	22	1
pi	9	0	24	1
pipy	10	0	22	1
pi	10	0	22	1
pipy	11	0	22	1
pi	11	0	22	1
pipy	12	0	22	1
pi	12	0	22	1
pipy	13	0	22	1
pi	13	0	22	1
pipy	14	0	22	1
pi	14	0	22	1
pipy	15	0	22	1
pi	15	0	22	1
pipy	16	0	22	1
pi	16	0	22	1
pipy	17	0	22	1
pi	17	0	22	1
pipy	18	0	22	1
pi	18	0	22	1
pipy	19	0	22	1
pi	19	0	22	1
pipy	20	0	22	1
pi	20	0	22	1
pipy	21	0	22	1
pi	21	0	22	1
pipy	22	0	22	1
pi	22	0	22	1
pipy	23	0	22	1
pi	23	0	22	1
pipy	24	0	22	1
pi	24	0	22	1
pipy	25	0	22	1
pi	25	0	22	1
pipy	26	0	22	1
pi	26	0	22	1
pipy	27	0	22	1
pi	27	0	22	1
pipy	28	0	22	1
pi	28	0	22	1
pipy	29	0	22	1
pi	29	0	22	1
pipy	30	0	22	1
pi	30	0	22	1
pipy	31	0	22	1
pi	31	0	22	1
pipy	32	0	22	1
pi	32	0	22	1
pipy	33	0	22	1
pi	33	0	22	1
pipy	34	0	22	1
pi	34	0	22	1
pipy	35	0	22	1
pi	35	0	22	1
pipy	36	0	22	1
pi	36	0	22	1
pipy	37	0	24	1
pi	37	0	22	1
pipy	38	0	24	1
pi	38	0	22	1
pipy	39	0	24	1
pi	39	0	22	1
pipy	40	0	24	1
pi	40	0	22	1
pipy	41	0	24	1
pi	41	0	22	1
pipy	42	0	24	1
pi	42	0	22	1
pipy	43	0	24	1
pi	43	0	22	1
pipy	44	0	24	1
pi	44	0	22	1
pipy	45	0	24	1
pi	45	0	22	1
pipy	46	0	24	1
pi	46	0	22	1
pipy	47	0	24	1
pi	47	0	22	1
pipy	48	0	24	1
pi	48	0	22	1
pipy	49	0	24	1
pi	49	0	22	1
pipy	50	0	24	1
pi	50	0	22	1
pipy	51	0	24	1
pi	51	0	22	1
pipy	52	0	24	1
pi	52	0	22	1
pipy	53	0	24	1
pi	53	0	22	1
pipy	54	0	24	1
pi	54	0	22	1
pipy	55	0	24	1
pi	55	0	22	1
pipy	56	0	24	1
pi	56	0	22	1
pipy	57	0	24	1
pi	57	0	22	1
pipy	58	0	22	1
pi	58	0	22	1
pipy	59	0	22	1
pi	59	0	22	1
pipy	60	0	22	1
pi	60	0	22	1
pipy	61	0	22	1
pi	61	0	22	1
pipy	62	0	22	1
pi	62	0	22	1
pipy	63	0	22	1
pi	63	0	22	1
pipy	64	0	22	1
pi	64	0	22	1
pipy	65	0	22	1
pi	65	0	22	1
pipy	66	0	22	1
pi	66	0	22	1
pipy	67	0	22	1
pi	67	0	22	1
pipy	68	0	22	1
pi	68	0	22	1
pipy	69	0	22	1
pi	69	0	22	1
pipy	70	0	22	1
pi	70	0	22	1
pipy	71	0	22	1
pi	71	0	22	1
pipy	72	0	22	1
pi	72	0	22	1
pipy	73	0	22	1
pi	73	0	22	1
pipy	74	0	22	1
pi	74	0	22	1
pipy	75	0	22	1
pi	75	0	22	1
pipy	76	0	22	1
pi	76	0	22	1
pipy	77	0	22	1
pi	77	0	22	1
pipy	78	0	22	1
pi	78	0	22	1
pipy	79	0	22	1
pi	79	0	22	1
