frame	phase	working_count	prompt_count	assistant_nonempty	footer_count	status_count	diagnostic_count
0	startup	0	0	1	1	1	0
1	active	1	1	1	1	1	0
2	active	1	1	1	1	1	0
3	active	1	1	1	1	1	0
4	active	1	1	1	1	1	0
5	active	1	1	1	1	1	0
6	active	1	1	1	1	1	0
7	active	1	1	1	1	1	0
8	active	1	1	1	1	1	0
9	active	1	1	1	1	1	0
10	active	1	1	1	1	1	0
11	active	1	1	1	1	1	0
12	active	1	1	1	1	1	0
13	active	1	1	1	1	1	0
14	active	1	1	14	1	1	0
15	active	1	1	14	1	1	0
16	active	1	1	14	1	1	0
17	active	1	1	14	1	1	0
18	active	1	1	14	1	1	0
19	active	1	1	14	1	1	0
20	active	1	1	14	1	1	0
21	active	1	1	14	1	1	0
22	active	1	1	14	1	1	0
23	active	1	1	15	1	1	0
24	active	0	1	15	1	1	0
25	final	0	1	15	1	1	0
